# 4자성어 한국어 데이터 — 열: 성어 / 병음(비우면 CC-CEDICT) / 뜻 / 직역 / 대응 한국 사자성어 / 유래
鹏程万里		앞날이 창창하다, 전도가 양양하다	붕새가 만 리를 날다	붕정만리(鵬程萬里)	『장자』— 붕새가 한 번 날아 구만 리를 간다는 이야기에서.
一长一短		이러쿵저러쿵 길게 늘어놓다	하나는 길고 하나는 짧다
刻舟求剑		변화를 모르고 옛 방식만 고집하다	배에 표시하고 칼을 찾다	각주구검(刻舟求劍)	『여씨춘추』— 배에서 칼을 빠뜨린 사람이 뱃전에 표시해 두고 배가 멈춘 뒤 그 자리에서 칼을 찾았다는 이야기.
出口成章		말이 곧 문장이 되다, 말솜씨가 빼어나다	입을 열면 문장이 되다
势不可当		기세를 막을 수 없다	기세를 당해낼 수 없다
发愤图强		분발하여 강해지려 애쓰다	분발하여 강해지기를 꾀하다	발분망식(發憤忘食)
一毛不拔		몹시 인색하다, 지독한 구두쇠다	털 한 오라기도 뽑지 않다	일모불발(一毛不拔)	『맹자』— 양주가 천하를 위해서라도 털 한 올 뽑지 않았다는 데서.
万古长青		영원히 변치 않고 푸르다	만고에 늘 푸르다	만고상청(萬古常靑)
半真半假		반은 진담 반은 농담이다	반은 참이고 반은 거짓이다	반신반의(半信半疑)와 유사
有口无心		말은 험해도 악의는 없다	입은 있으나 마음은 없다
奇花异草		진기한 화초	기이한 꽃과 특이한 풀
爱理不理		본체만체하다, 시큰둥하다	상대해 주는 둥 마는 둥
见钱眼开		돈만 보면 눈이 뒤집히다	돈을 보면 눈이 열리다
各奔前程		각자 제 갈 길을 가다	저마다 제 앞길로 달려가다
张灯结彩		등을 달고 색색으로 꾸미다(경사 분위기)	등을 걸고 채색을 매다
节衣缩食		먹고 입는 것을 줄여 아끼다	옷을 줄이고 밥을 줄이다	절의축식(節衣縮食)
朝三暮四		변덕이 심하다, 잔꾀로 남을 속이다	아침에 셋 저녁에 넷	조삼모사(朝三暮四)	『장자』— 원숭이에게 도토리를 아침 셋 저녁 넷 준다니 화내다가, 아침 넷 저녁 셋이라 하니 좋아했다는 이야기.
连滚带爬		굴러가며 기다시피 허둥지둥하다	구르며 기어가다
大包大揽		혼자서 다 떠맡다	크게 싸안고 크게 끌어안다
沽名钓誉		명성을 낚으려 애쓰다	이름을 팔고 명예를 낚다	낚시질하듯 명예를 구함
经久不息		오래도록 그치지 않다(박수·환호)	오래 지나도 멎지 않다
有的放矢		과녁을 두고 활을 쏘다, 목표가 분명하다	과녁이 있어야 화살을 쏘다	유적방시(有的放矢)
东奔西走		이리저리 바쁘게 뛰어다니다	동으로 뛰고 서로 달리다	동분서주(東奔西走)
无情无义		인정도 의리도 없다	정도 없고 의리도 없다
约定俗成		오래 쓰이면서 굳어진 관례	약속하고 풍속으로 굳어지다
损人利己		남을 해쳐 제 이익을 챙기다	남을 손해 보이고 나를 이롭게 하다
举一反三		하나를 들으면 열을 안다	하나를 들어 셋을 미루어 알다	거일반삼(擧一反三)	『논어』— 한 귀퉁이를 들어 보였는데 나머지 셋을 미루지 못하면 다시 가르치지 않는다고 한 데서.
三番五次		여러 번 되풀이하여	세 번 다섯 번
绘声绘色		생생하게 묘사하다	소리도 그리고 빛깔도 그리다
怡然自得		흐뭇하고 만족스럽다	기쁘게 스스로 만족하다	이연자득(怡然自得)
风餐露宿		한뎃잠을 자며 고생하다	바람 맞으며 먹고 이슬 맞으며 자다	풍찬노숙(風餐露宿)
纵横交错		이리저리 얽히고설키다	세로 가로로 뒤엉키다	종횡교착(縱橫交錯)
赞叹不已		감탄이 그치지 않다	감탄을 그만두지 못하다
愚公移山		끈기 있게 하면 못 이룰 일이 없다	우공이 산을 옮기다	우공이산(愚公移山)	『열자』— 아흔 살 우공이 대대로 흙을 나르면 산을 옮길 수 있다 하자 하늘이 감동해 산을 옮겨 주었다는 이야기.
引经据典		경전을 인용해 근거로 삼다	경전을 끌어와 전거로 삼다	인경거전(引經據典)
萍水相逢		우연히 만나다	부평초와 물이 만나듯
思前想后		앞뒤를 두루 헤아리다	앞을 생각하고 뒤를 생각하다	전후사려(前後思慮)
大公无私		공평무사하다	크게 공정하여 사사로움이 없다	대공무사(大公無私)
一概而论		한데 뭉뚱그려 말하다(주로 부정형으로)	한결같이 몰아서 논하다	일개이론(一槪而論)
见仁见智		보는 사람에 따라 견해가 다르다	어진 이는 인을, 지혜로운 이는 지를 본다	견인견지(見仁見智)	『주역』 계사전의 "仁者見之謂之仁, 知者見之謂之知"에서.
画龙点睛		가장 중요한 한 획을 더해 살려내다	용을 그리고 눈동자를 찍다	화룡점정(畫龍點睛)	장승요가 벽에 그린 용에 눈동자를 찍자 용이 벽을 뚫고 날아올랐다는 이야기.
前赴后继		앞사람이 쓰러지면 뒷사람이 잇다	앞이 나아가면 뒤가 잇는다
斩草除根		화근을 뿌리째 없애다	풀을 베고 뿌리를 뽑다	참초제근(斬草除根)
