深入人心		사람들의 마음속에 깊이 파고들다	사람 마음 깊이 들어가다	심입인심(深入人心)
居高临下		높은 곳에서 내려다보다, 유리한 위치를 차지하다	높은 데 있어 아래를 굽어보다	거고임하(居高臨下)
胸有成竹		이미 복안이 서 있다	가슴속에 이미 대나무가 있다	흉유성죽(胸有成竹)	문동이 대나무를 그리기 전 이미 마음속에 완성된 대나무를 품고 있었다는 데서.
以身作则		몸소 모범을 보이다	제 몸으로 본보기를 삼다	이신작칙(以身作則)
倾家荡产		가산을 몽땅 날리다	집을 기울이고 재산을 쓸어내다	경가탕산(傾家蕩産)
独立自主		자주적으로 결정하다	홀로 서서 스스로 주인이 되다	독립자주(獨立自主)
喜怒哀乐		희로애락	기쁨·노여움·슬픔·즐거움	희로애락(喜怒哀樂)
司空见惯		하도 흔해 예사롭다	사공(관직)이 늘 보아 익숙하다	사공견관(司空見慣)	당나라 유우석이 사공 이신의 잔치에서, 사공에겐 예사인 일이 자신에겐 놀랍다고 읊은 데서.
赞不绝口		입에 침이 마르도록 칭찬하다	칭찬이 입에서 끊이지 않다	찬불절구(讚不絶口)
相依为命		서로 의지해 살아가다	서로 기대어 목숨을 삼다	상의위명(相依爲命)
错综复杂		뒤얽혀 복잡하다	엇갈리고 뒤섞여 복잡하다	착종복잡(錯綜複雜)
接二连三		연달아 잇달다	둘을 잇고 셋을 이어	연이어 계속됨
土生土长		그 고장에서 나고 자라다	그 땅에서 나고 그 땅에서 자라다	토생토장(土生土長)
不以为然		그렇게 여기지 않다, 동의하지 않다	그렇다고 여기지 않다	불이위연(不以爲然)
意料之外		예상 밖이다	헤아림의 바깥	의료지외(意料之外)
一干二净		깨끗이, 남김없이	하나같이 마르고 둘같이 깨끗하다	일간이정(一乾二淨)
惊天动地		하늘과 땅을 뒤흔들다	하늘을 놀라게 하고 땅을 움직이다	경천동지(驚天動地)
身不由己		제 뜻대로 할 수 없다	몸이 제게 달려 있지 않다	신불유기(身不由己)
来龙去脉		일의 자초지종	용이 온 줄기와 나간 맥	내룡거맥(來龍去脈)
指手画脚		이래라저래라 참견하다	손짓 발짓으로 지시하다	지수화각(指手畫脚)
翻天覆地		하늘과 땅이 뒤집히다, 천지개벽하듯 바뀌다	하늘을 뒤집고 땅을 엎다	번천복지(翻天覆地)
水落石出		진상이 드러나다	물이 빠지자 돌이 드러나다	수락석출(水落石出)
合情合理		인정에도 이치에도 맞다	정에 맞고 이치에 맞다	합정합리(合情合理)
力不从心		마음은 있으나 힘이 못 미치다	힘이 마음을 따르지 못하다	역부종심(力不從心)
惊心动魄		간담이 서늘하다	마음을 놀래고 넋을 흔들다	경심동백(驚心動魄)
大街小巷		큰길 작은 골목, 온 거리	큰 거리와 작은 골목	대가소항(大街小巷)
走投无路		오도 가도 못하다, 막다른 길에 몰리다	갈 곳이 없다	진퇴양난(進退兩難)
天长地久		하늘과 땅처럼 영원하다	하늘은 길고 땅은 오래다	천장지구(天長地久)
提心吊胆		가슴을 졸이다	마음을 들고 쓸개를 매달다	제심조담(提心弔膽)
针锋相对		한 치도 물러서지 않고 맞서다	바늘 끝이 서로 마주하다	침봉상대(針鋒相對)
勇往直前		용감하게 앞으로 나아가다	용맹히 곧장 나아가다	용왕직전(勇往直前)
面目全非		알아볼 수 없게 달라지다	얼굴이 전혀 딴판이다	면목전비(面目全非)
默默无闻		이름 없이 묵묵하다	묵묵하여 들리는 바 없다	묵묵무문(默默無聞)
记忆犹新		기억이 아직도 생생하다	기억이 오히려 새롭다	기억유신(記憶猶新)
可想而知		가히 짐작할 만하다	생각해 보면 알 수 있다	가상이지(可想而知)
惊慌失措		당황하여 어쩔 줄 모르다	놀라고 당황해 조치를 잃다	경황실조(驚慌失措)
息息相关		서로 밀접하게 관련되다	숨결마다 서로 이어지다	식식상관(息息相關)
四面八方		사면팔방, 사방팔방	네 면 여덟 방향	사면팔방(四面八方)
万无一失		만에 하나의 실수도 없다	만에 하나도 잃지 않다	만무일실(萬無一失)
自由自在		자유자재하다, 거리낌이 없다	스스로 말미암고 스스로 있다	자유자재(自由自在)
一成不变		조금도 변하지 않다	한번 이루어져 변하지 않다	일성불변(一成不變)
目瞪口呆		눈이 휘둥그레지고 말문이 막히다	눈은 부릅뜨고 입은 멍하다	목등구태(目瞪口呆)
一心一意		한마음 한뜻으로	한 마음 한 뜻	일심일의(一心一意)
应有尽有		있을 건 다 있다	있어야 할 것이 다 있다	응유진유(應有盡有)
脱口而出		불쑥 입 밖으로 튀어나오다	입을 벗어나 나오다	탈구이출(脫口而出)
诸如此类		이와 같은 따위	이런 것들과 같은 부류	제여차류(諸如此類)
一言不发		한마디도 하지 않다	한 마디도 내지 않다	일언부발(一言不發)
源源不断		끊임없이 이어지다	근원에서 끝없이 이어지다	원원부단(源源不斷)
当之无愧		그 이름에 조금도 부끄럽지 않다	그것을 감당하기에 부끄러움이 없다	당지무괴(當之無愧)
无济于事		일에 아무 도움이 안 되다	일에 보탬이 없다	무제어사(無濟於事)
罪魁祸首		주범, 화근의 원흉	죄의 우두머리, 화의 머리	죄괴화수(罪魁禍首)
心想事成		바라는 대로 이루어지길	마음으로 생각한 일이 이루어지다	심상사성(心想事成)
自始至终		처음부터 끝까지	처음부터 끝에 이르기까지	자시지종(自始至終)
一路顺风		가시는 길 순조롭기를	가는 길 내내 순풍	일로순풍(一路順風)
措手不及		손쓸 겨를도 없다	손 쓸 틈이 미치지 못하다	조수불급(措手不及)
相提并论		같은 선상에 놓고 논하다(주로 부정형)	함께 들어 나란히 논하다	상제병론(相提並論)
史无前例		역사상 전례가 없다	역사에 앞선 예가 없다	사무전례(史無前例)
大惊小怪		별것 아닌 일에 호들갑을 떨다	크게 놀라고 작게 괴이해하다	대경소괴(大驚小怪)
念念不忘		늘 마음에 두고 잊지 못하다	생각마다 잊지 못하다	염념불망(念念不忘)
坚持不懈		해이해지지 않고 꾸준히 밀고 나가다	굳게 지켜 게으르지 않다	견지불해(堅持不懈)
取而代之		대신 그 자리를 차지하다	취하여 그것을 대신하다	취이대지(取而代之)
无所事事		하는 일 없이 빈둥거리다	일삼는 바가 없다	무소사사(無所事事)
无家可归		돌아갈 집이 없다	돌아갈 집이 없다	무가가귀(無家可歸)
无话可说		할 말이 없다	할 만한 말이 없다	무화가설(無話可說)
胡思乱想		이런저런 잡생각에 빠지다	허튼 생각 어지러운 상상	호사난상(胡思亂想)
不由自主		저도 모르게 그리되다	제 뜻대로 되지 않다	불유자주(不由自主)
一举一动		일거수일투족	한 번 들고 한 번 움직이다	일거일동(一擧一動)
自言自语		혼잣말을 하다	스스로 말하고 스스로 이야기하다	자언자어(自言自語)
顺其自然		흐름에 맡기다	그 자연스러움을 따르다	순기자연(順其自然)
自然而然		저절로 그렇게 되다	자연히 그러하다	자연이연(自然而然)
随心所欲		마음 내키는 대로 하다	마음이 하고자 하는 바를 따르다	종심소욕(從心所欲)	『논어』— 일흔에 마음 가는 대로 해도 법도를 넘지 않았다(七十而從心所欲不踰矩)에서.
有所不同		다소 차이가 있다	같지 않은 바가 있다	유소부동(有所不同)
出人意料		예상을 벗어나다	사람의 헤아림을 벗어나다	출인의료(出人意料)
自以为是		제 생각만 옳다고 여기다	스스로 옳다고 여기다	자이위시(自以爲是)
一无所知		아무것도 모르다	아는 바가 하나도 없다	일무소지(一無所知)
情不自禁		감정을 억누르지 못하다	정을 스스로 금하지 못하다	정불자금(情不自禁)
一无所有		가진 것이 하나도 없다	있는 바가 하나도 없다	일무소유(一無所有)
全心全意		온 마음을 다해	온 마음 온 뜻으로	전심전의(全心全意)
一塌糊涂		엉망진창이다	무너지고 흐리멍덩하다	엉망진창
不知不觉		자기도 모르는 사이에	알지 못하고 깨닫지 못하다	부지불각(不知不覺)
显而易见		뻔히 알 수 있다	드러나 있어 보기 쉽다	현이이견(顯而易見)
大吃一惊		깜짝 놀라다	크게 한 번 놀라다	대끽일경(大喫一驚)
成千上万		수천수만, 헤아릴 수 없이 많다	천을 이루고 만을 웃돌다	성천상만(成千上萬)
难以置信		믿기 어렵다	믿음을 두기 어렵다	난이치신(難以置信)
乱七八糟		뒤죽박죽 엉망이다	일곱도 여덟도 어지럽다	난칠팔조(亂七八糟)
不可避免		피할 수 없다	피하여 면할 수 없다	불가피면(不可避免)
独一无二		둘도 없이 유일하다	홀로 하나요 둘이 없다	독일무이(獨一無二)
一模一样		똑같이 닮았다	한 본에 한 모양	일모일양(一模一樣)
与众不同		남다르다, 남과 다르다	뭇사람과 같지 않다	여중부동(與衆不同)
无论如何		어떻게 하든, 어쨌든	어떠하든 논할 것 없이	무론여하(無論如何)
一望无际		끝없이 아득하다	한 번 바라보아 끝이 없다	일망무제(一望無際)
一窍不通		하나도 모르다, 문외한이다	구멍 하나도 뚫리지 않다	일규불통(一竅不通)
一箭双雕		일석이조	화살 하나로 수리 둘	일전쌍조(一箭雙鵰)·일석이조(一石二鳥)	북주의 장손성이 화살 한 대로 다투던 수리 두 마리를 꿰뚫었다는 고사.
一见如故		처음 만나도 오랜 벗 같다	한 번 보고 옛 벗 같다	일견여고(一見如故)
一览无余		한눈에 다 들어오다	한 번 훑어 남김이 없다	일람무여(一覽無餘)
一语道破		한마디로 정곡을 찌르다	한 마디로 꿰뚫어 말하다	일어도파(一語道破)
一诺千金		한번 한 약속은 천금같이 지키다	한 번의 승낙이 천금	일낙천금(一諾千金)	『사기』— 계포의 승낙 한마디가 황금 백 근보다 낫다는 말에서.
一针见血		한마디로 급소를 찌르다	한 번 찔러 피를 보다	일침견혈(一針見血)
一鸣惊人		한번 나서서 세상을 놀라게 하다	한 번 울어 사람을 놀라게 하다	일명경인(一鳴驚人)	『사기』— 삼 년을 울지 않던 새가 한 번 울면 사람을 놀라게 한다며 초 장왕이 분발한 고사.
三心二意		마음이 갈팡질팡하다	세 마음 두 뜻	삼심이의(三心二意)
三顾茅庐		인재를 정성껏 세 번 찾아가다	초가를 세 번 찾다	삼고초려(三顧草廬)	유비가 제갈량의 초가를 세 번 찾아가 청한 고사.
不动声色		태연히 내색하지 않다	소리도 낯빛도 움직이지 않다	부동성색(不動聲色)
不学无术		배운 것도 재주도 없다	배움도 없고 기술도 없다	불학무술(不學無術)
不屈不挠		굽히지도 꺾이지도 않다	굽히지 않고 휘지 않다	불굴불요(不屈不撓)
不遗余力		힘을 조금도 아끼지 않다	남은 힘을 남기지 않다	불유여력(不遺餘力)
专心致志		한 가지에 온 정신을 쏟다	마음을 오로지해 뜻을 다하다	전심치지(專心致志)
东施效颦		분수도 모르고 남을 흉내 내다	동시가 서시의 찡그림을 흉내 내다	동시효빈(東施效顰)	『장자』— 추녀 동시가 미녀 서시의 찡그린 표정을 따라 하다 더 흉해졌다는 이야기.
两全其美		양쪽 모두 좋게 하다	둘 다 온전하게 하다	양전기미(兩全其美)
临危不惧	lín wēi bù jù	위기에도 두려워하지 않다	위기에 임해도 겁내지 않다	임위불구(臨危不懼)
