密密麻麻	mì mì má má	빽빽하게 들어차다	빽빽하고 촘촘하다	밀밀마마(密密麻麻)
对牛弹琴		알아듣지 못할 상대에게 말해 봐야 소용없다	소에게 거문고를 타 주다	우이독경(牛耳讀經)	공명의가 소에게 거문고를 타 주었으나 소는 풀만 뜯었다는 이야기.
山清水秀		산 맑고 물 고운 아름다운 경치	산은 맑고 물은 빼어나다	산자수명(山紫水明)
崇山峻岭		높고 험한 산줄기	높은 산과 험준한 고개	숭산준령(崇山峻嶺)
年年有余		해마다 풍족하기를(새해 인사)	해마다 남음이 있다	연년유여(年年有餘)	'남을 여(餘)'와 '물고기 어(魚)'가 같은 음이라 설에 생선을 먹는 풍습으로 이어짐.
开门见山		본론부터 꺼내다	문을 열자 산이 보이다	개문견산(開門見山)
强词夺理		억지 논리를 펴다	말을 비틀어 이치를 빼앗다	강사탈리(强詞奪理)
心不在焉		마음이 딴 데 가 있다	마음이 거기에 있지 않다	심부재언(心不在焉)	『대학』— 심부재언 시이불견(心不在焉 視而不見)에서.
心花怒放		기뻐서 마음이 활짝 피다	마음의 꽃이 활짝 피다	심화노방(心花怒放)
忐忑不安		조마조마하여 안절부절못하다	마음이 오르내려 편치 않다	탄특불안(忐忑不安)
志同道合		뜻과 길이 같다	뜻이 같고 길이 맞다	지동도합(志同道合)
急中生智		다급한 가운데 묘책이 떠오르다	급한 가운데 지혜가 나다	급중생지(急中生智)
悬梁刺股		뼈를 깎는 각오로 공부하다	머리를 들보에 매고 넓적다리를 송곳으로 찌르다	현량자고(懸梁刺股)	손경은 머리를 들보에 매고, 소진은 졸릴 때 넓적다리를 찔러 가며 공부했다는 고사.
惊弓之鸟		한 번 놀란 뒤 작은 기척에도 겁내다	활시위 소리에 놀란 새	상궁지조(傷弓之鳥)	위나라 경리가 화살 없이 시위만 당겼는데도 예전에 다친 기러기가 놀라 떨어졌다는 이야기.
惟妙惟肖		꼭 빼닮게 잘 표현하다	묘하고도 꼭 닮았다	유묘유초(惟妙惟肖)
意味深长		의미심장하다	뜻과 맛이 깊고 길다	의미심장(意味深長)
手舞足蹈		너무 기뻐 덩실덩실하다	손이 춤추고 발이 뛰다	수무족도(手舞足蹈)
手足无措		어찌할 바를 모르다	손발 둘 곳을 모르다	수족무조(手足無措)
才华横溢		재능이 넘쳐흐르다	재주가 가로로 넘치다	재화횡일(才華橫溢)
抛砖引玉		변변찮은 의견으로 좋은 의견을 이끌어내다	벽돌을 던져 옥을 끌어내다	포전인옥(抛塼引玉)
指鹿为马		사실을 뒤집어 억지로 우기다	사슴을 가리켜 말이라 하다	지록위마(指鹿爲馬)	진나라 조고가 사슴을 말이라 하며 신하들을 시험한 고사.
据理力争		이치를 들어 끝까지 다투다	이치에 근거해 힘껏 다투다	거리역쟁(據理力爭)
推心置腹		속마음을 터놓고 대하다	마음을 밀어 배 속에 두다	추심치복(推心置腹)	광무제가 항복한 이들에게 진심을 다하자 "제 배 속에 마음을 넣어 준다"고 감복한 고사.
掩耳盗铃		속이 뻔한 자기기만	귀를 막고 방울을 훔치다	엄이도령(掩耳盜鈴)	『여씨춘추』— 종을 훔치던 자가 소리가 날까 제 귀를 막았다는 이야기.
