# 搭配(dāpèi) 호응 표현 — 짝꿍단어 학습 데이터
#
# @머리말	머리말뜻	유형	주제	HSK      ← 그룹 시작 줄
# 짝	호응 뜻	[예문	예문뜻]                  ← 그룹에 속한 줄
#
# 유형: VO 동사+목적어 / AN 형용사+명사 / NA 명사+술어 / AV 부사+동사 / VC 동사+보어
# 탭으로 구분. 예문은 없어도 됩니다.

@提高	높이다·향상시키다	VO	발전	3
水平	수준을 높이다	他的汉语水平提高了不少。	그의 중국어 수준이 꽤 늘었다.
能力	능력을 키우다	这份工作提高了我的沟通能力。	이 일은 내 소통 능력을 키워 주었다.
效率	효율을 높이다	用这个方法可以提高工作效率。	이 방법을 쓰면 업무 효율을 높일 수 있다.
质量	품질을 높이다	公司决定提高产品质量。	회사는 제품 품질을 높이기로 했다.
成绩	성적을 올리다	他的成绩提高得很快。	그의 성적은 빨리 올랐다.
收入	수입을 늘리다
素质	자질을 높이다
意识	의식을 높이다	要提高安全意识。	안전 의식을 높여야 한다.
认识	인식을 높이다
地位	지위를 높이다
价格	가격을 올리다

@增加	늘리다·증가시키다	VO	발전	3
收入	수입을 늘리다	他想增加一点收入。	그는 수입을 좀 늘리고 싶어 한다.
人口	인구가 늘다
数量	수량을 늘리다
压力	부담을 늘리다	这样反而增加了他的压力。	이렇게 하면 오히려 그의 부담이 커진다.
负担	부담을 가중시키다
机会	기회를 늘리다
信心	자신감을 더하다
产量	생산량을 늘리다
体重	체중이 늘다
难度	난이도를 높이다

@减少	줄이다·감소시키다	VO	문제해결	3
损失	손실을 줄이다	及时处理可以减少损失。	제때 처리하면 손실을 줄일 수 있다.
污染	오염을 줄이다
浪费	낭비를 줄이다
开支	지출을 줄이다
麻烦	번거로움을 줄이다
压力	스트레스를 줄이다
事故	사고를 줄이다
误会	오해를 줄이다

@发展	발전시키다	VO	발전	3
经济	경제를 발전시키다	这个城市的经济发展得很快。	이 도시는 경제가 빠르게 발전한다.
事业	사업을 키우다
关系	관계를 발전시키다
科技	과학기술을 발전시키다
旅游业	관광업을 발전시키다
生产	생산을 발전시키다

@解决	해결하다	VO	문제해결	3
问题	문제를 해결하다	这个问题很快就解决了。	이 문제는 금방 해결되었다.
困难	어려움을 해결하다
矛盾	갈등을 해결하다
纠纷	분쟁을 해결하다
就业	취업을 해결하다
温饱	먹고사는 문제를 해결하다

@实现	실현하다	VO	발전	4
梦想	꿈을 이루다	他终于实现了自己的梦想。	그는 마침내 자기 꿈을 이루었다.
目标	목표를 이루다
理想	이상을 실현하다
愿望	소원을 이루다
价值	가치를 실현하다
现代化	현대화를 실현하다

@举行	거행하다·열다	VO	사회	4
会议	회의를 열다	下周举行全体会议。	다음 주에 전체 회의를 연다.
婚礼	결혼식을 올리다
比赛	시합을 열다
演出	공연을 열다
仪式	의식을 거행하다
展览	전시를 열다

@参加	참가하다	VO	일상	2
考试	시험을 보다	他明天要参加考试。	그는 내일 시험을 본다.
比赛	시합에 나가다
会议	회의에 참석하다
婚礼	결혼식에 참석하다
活动	행사에 참가하다
劳动	노동에 참가하다
面试	면접을 보다

@进行	진행하다	VO	일·업무	4
调查	조사를 진행하다	警察正在进行调查。	경찰이 조사를 진행하고 있다.
研究	연구를 진행하다
讨论	토론을 진행하다
改革	개혁을 추진하다
手术	수술을 하다
检查	검사를 하다
交流	교류를 진행하다
合作	협력을 진행하다

@取得	얻다·거두다	VO	성과	4
成绩	성적을 거두다	他在比赛中取得了好成绩。	그는 시합에서 좋은 성적을 거두었다.
成功	성공을 거두다
进步	진보를 이루다
胜利	승리를 거두다
联系	연락이 닿다
资格	자격을 취득하다
经验	경험을 얻다
一致	합의를 보다

@达到	도달하다·이르다	VO	성과	4
目的	목적을 이루다	他终于达到了目的。	그는 마침내 목적을 이루었다.
水平	수준에 이르다
标准	기준에 도달하다
目标	목표에 도달하다
效果	효과를 거두다
高潮	절정에 이르다

@引起	일으키다·불러오다	VO	사회	4
注意	주의를 끌다	这件事引起了大家的注意。	이 일은 모두의 주의를 끌었다.
重视	중시를 불러오다
兴趣	흥미를 불러일으키다
反应	반응을 일으키다
争论	논쟁을 일으키다
误会	오해를 사다
火灾	화재를 일으키다

@造成	초래하다	VO	문제해결	4
损失	손실을 초래하다	这场大雨造成了很大损失。	이번 폭우는 큰 손실을 초래했다.
影响	영향을 끼치다
后果	결과를 초래하다
麻烦	번거로움을 초래하다
污染	오염을 일으키다
伤害	상처를 주다
混乱	혼란을 초래하다

@保持	유지하다	VO	일상	4
联系	연락을 유지하다	我们一直保持联系。	우리는 계속 연락하고 지낸다.
安静	조용함을 유지하다
清洁	청결을 유지하다
距离	거리를 두다
平衡	균형을 유지하다
冷静	침착함을 유지하다
记录	기록을 유지하다
体形	몸매를 유지하다

@改变	바꾸다	VO	일상	3
主意	생각을 바꾸다	他又改变主意了。	그는 또 마음을 바꿨다.
计划	계획을 바꾸다
态度	태도를 바꾸다
命运	운명을 바꾸다
习惯	습관을 바꾸다
形象	이미지를 바꾸다
看法	견해를 바꾸다

@加强	강화하다	VO	일·업무	4
管理	관리를 강화하다	公司要加强安全管理。	회사는 안전 관리를 강화해야 한다.
合作	협력을 강화하다
联系	연계를 강화하다
锻炼	단련을 강화하다
学习	학습을 강화하다
交流	교류를 강화하다

@培养	기르다·양성하다	VO	학습	4
兴趣	흥미를 기르다	要从小培养读书的兴趣。	어릴 때부터 독서에 흥미를 길러야 한다.
人才	인재를 양성하다
能力	능력을 기르다
习惯	습관을 기르다
感情	정을 쌓다
独立性	독립성을 기르다

@满足	만족시키다	VO	일·업무	4
需要	수요를 충족하다	这个设计满足了客户的需要。	이 설계는 고객의 요구를 충족했다.
要求	요구를 충족하다
愿望	바람을 채워 주다
条件	조건을 충족하다
好奇心	호기심을 채우다

@承担	떠맡다	VO	일·업무	5
责任	책임을 지다	这件事由我承担责任。	이 일은 내가 책임진다.
风险	위험을 감수하다
费用	비용을 부담하다
义务	의무를 지다
后果	결과를 감당하다

@遵守	지키다·준수하다	VO	사회	4
纪律	규율을 지키다	学生要遵守课堂纪律。	학생은 수업 규율을 지켜야 한다.
规定	규정을 지키다
法律	법을 지키다
时间	시간을 지키다
诺言	약속을 지키다
交通规则	교통 규칙을 지키다

@建立	세우다·수립하다	VO	인간관계	4
关系	관계를 맺다	两国建立了外交关系。	두 나라는 외교 관계를 맺었다.
联系	연계를 맺다
制度	제도를 세우다
信心	자신감을 세우다
友谊	우정을 쌓다
档案	기록을 만들다

@打破	깨뜨리다	VO	성과	5
纪录	기록을 깨다	他打破了世界纪录。	그는 세계 기록을 깼다.
沉默	침묵을 깨다
传统	전통을 깨다
平衡	균형을 깨다
僵局	교착 상태를 깨다

@创造	창조하다·만들다	VO	성과	4
条件	여건을 만들다	学校为学生创造了良好的条件。	학교는 학생에게 좋은 여건을 만들어 주었다.
奇迹	기적을 만들다
价值	가치를 창출하다
财富	부를 창출하다
机会	기회를 만들다

@完成	완성하다·끝내다	VO	일·업무	3
任务	임무를 완수하다	他按时完成了任务。	그는 제때 임무를 끝냈다.
作业	숙제를 끝내다
工作	일을 마치다
学业	학업을 마치다
计划	계획을 완수하다

@接受	받아들이다	VO	인간관계	4
教育	교육을 받다	他接受过很好的教育。	그는 좋은 교육을 받았다.
意见	의견을 받아들이다
邀请	초대에 응하다
批评	비판을 받아들이다
现实	현실을 받아들이다
治疗	치료를 받다
采访	인터뷰에 응하다

@表示	표하다·나타내다	VO	인간관계	4
感谢	감사를 표하다	他向大家表示感谢。	그는 모두에게 감사를 표했다.
欢迎	환영의 뜻을 표하다
同意	동의를 표하다
满意	만족을 나타내다
关心	관심을 보이다
歉意	사과의 뜻을 표하다
决心	결심을 밝히다

@掌握	숙달하다·장악하다	VO	학습	4
技术	기술을 익히다	他很快掌握了这门技术。	그는 이 기술을 빨리 익혔다.
知识	지식을 익히다
方法	방법을 익히다
情况	상황을 파악하다
时间	시간을 조절하다
主动权	주도권을 잡다
外语	외국어를 익히다

@积累	쌓다	VO	학습	5
经验	경험을 쌓다	他积累了丰富的教学经验。	그는 풍부한 교육 경험을 쌓았다.
知识	지식을 쌓다
财富	재산을 모으다
资金	자금을 모으다
素材	소재를 모으다

@消除	없애다·해소하다	VO	문제해결	5
误会	오해를 풀다	一句话就消除了误会。	한마디에 오해가 풀렸다.
疲劳	피로를 풀다
紧张	긴장을 풀다
顾虑	걱정을 없애다
差距	격차를 없애다

@缓解	완화하다	VO	건강	5
压力	스트레스를 풀다	运动能缓解压力。	운동은 스트레스를 풀어 준다.
疼痛	통증을 완화하다
紧张	긴장을 누그러뜨리다
矛盾	갈등을 누그러뜨리다
交通	교통 정체를 완화하다

@发挥	발휘하다	VO	성과	5
作用	역할을 하다	他在团队里发挥了重要作用。	그는 팀에서 중요한 역할을 했다.
水平	실력을 발휘하다
优势	강점을 살리다
才能	재능을 발휘하다
想象力	상상력을 발휘하다
潜力	잠재력을 끌어내다

@采取	취하다	VO	일·업무	5
措施	조치를 취하다	政府采取了有力措施。	정부는 강력한 조치를 취했다.
办法	방법을 쓰다
态度	태도를 취하다
行动	행동을 취하다
立场	입장을 취하다

@制定	제정하다·세우다	VO	일·업무	5
